"transactionDate","DPOZ","country","contractType","wayOfTrading","buySellIndicator","marketSegment","energyCommodity","deliveryStart","relativePeriod","periodLength","MTU/Load","noOfTransactions","noOfMPs"
"Y2025M02D07","21Y---A002A005-T","ES","AU","TRADING on EXCHANGE (own orderbook)","B","DayAhead and WithinDay","NG","Y2025M02D08","D+1","D","GD","33","33"
"Y2025M02D16","21Y---A002A005-T","ES","CO","TRADING on EXCHANGE (own orderbook)","S","DayAhead and WithinDay","NG","Y2025M02D17","D+1","D","GD","247","9"
"Y2025M01D26","21YNL----TTF---1","NL","CO","TRADING on EXCHANGE (own orderbook)","S","DayAhead and WithinDay","NG","Y2025M01D27","D+1","D","GD","101","21"
"Y2025M01D28","21Y---A002A005-T","ES","AU","TRADING on EXCHANGE (own orderbook)","B","DayAhead and WithinDay","NG","Y2025M01D28","D+0","D","GD","31","27"
"Y2025M01D07","21Y0000000001359","EE-LV","CO","TRADING on EXCHANGE (own orderbook)","B","DayAhead and WithinDay","NG","Y2025M01D08","D+1","D","GD","13","6"
"Y2025M01D01","21Y0000000001278","FR","CO","TRADING on EXCHANGE (own orderbook)","S","DayAhead and WithinDay","NG","Y2025M01D01","D+0","[Other<D]","GD","126","19"
"Y2025M01D06","21Y000000000078W","FI","CO","TRADING on EXCHANGE (own orderbook)","B","DayAhead and WithinDay","NG","Y2025M01D06","D+0","D","GD","30","8"
"Y2025M01D21","21Y---A001A001-B","CZ","CO","TRADING on EXCHANGE (own orderbook)","B","DayAhead and WithinDay","NG","Y2025M01D22","D+1","D","GD","64","23"
"Y2025M01D27","21Y---A002A005-T","ES","AU","TRADING on EXCHANGE (own orderbook)","B","DayAhead and WithinDay","NG","Y2025M01D28","D+1","D","GD","43","43"
"Y2025M02D03","21Y---A002A005-T","ES","CO","TRADING on EXCHANGE (own orderbook)","B","DayAhead and WithinDay","NG","Y2025M02D03","D+0","D","GD","562","94"
"Y2025M02D26","21Y---A002A005-T","ES","AU","TRADING on EXCHANGE (own orderbook)","B","DayAhead and WithinDay","NG","Y2025M02D26","D+0","D","GD","38","35"
"Y2025M02D05","39YSINBP000000NE","HU","CO","TRADING on EXCHANGE (own orderbook)","B","DayAhead and WithinDay","NG","Y2025M02D06","D+1","D","GD","174","24"
"Y2025M03D12","21YNL----TTF---1","NL","CO","TRADING on EXCHANGE (own orderbook)","S","DayAhead and WithinDay","NG","Y2025M03D12","D+0","[Other<D]","GD","251","35"
"Y2025M02D20","37Y005053MH0000R","DE","CO","TRADING on EXCHANGE (own orderbook)","S","DayAhead and WithinDay","NG","Y2025M02D21","D+1","[Other<D]","GD","198","24"
"Y2025M01D12","EU","EU","All","TRADING on EXCHANGE (own orderbook)","B","DayAhead and WithinDay","NG","Y2025M01D12","","All","GD","55","21"
"Y2025M01D30","37Y005053MH0000R","DE","CO","TRADING on EXCHANGE (own orderbook)","S","DayAhead and WithinDay","NG","Y2025M01D30","D+0","D","GD","76","7"
"Y2025M02D14","21Y---A002A005-T","ES","CO","TRADING on EXCHANGE (own orderbook)","B","DayAhead and WithinDay","NG","Y2025M02D14","D+0","D","GD","528","69"
